Id,Name*,Description,Flavour*,Comments,StatsText,Size, Level, Slot, price,Empire,Federation,Trading Guild,Pirates,Neutral,Void,Ancient Miners,In Game,AI Only,
Cloack1,Cloaking Shield,Renders the ship invisible while not attacking.,,,\n\nReCloakingCooldown: 750\n\nCapacity: 600#image{Shield}\n\nGeneration: 40#image{Shield}/sec\n\n,Small,3,Shield,450,Yes,No,No,No,No,,,,,
Cloack2,Cloaking Shield,Renders the ship invisible while not attacking.,,To be removed,\n\nReCloakingCooldown: 600\n\nCapacity: 1200#image{Shield}\n\nGeneration: 60#image{Shield}/sec\n\n,Small,3,Shield,675,Yes,No,No,No,No,,,,,
Cloack3,Cloaking Shield,Renders the ship invisible while not attacking.,,To be removed,\n\nReCloakingCooldown: 450\n\nCapacity: 1800#image{Shield}\n\nGeneration: 80#image{Shield}/sec\n\n,Small,3,Shield,1012,Yes,No,No,No,No,,,,,
Cloack4,Cloaking Shield,Renders the ship invisible while not attacking.,,To be removed,\n\nReCloakingCooldown: 300\n\nCapacity: 2400#image{Shield}\n\nGeneration: 100#image{Shield}/sec\n\n,Small,4,Shield,1518,Yes,No,No,No,No,,,,,
Cloack5,Cloaking Shield,Renders the ship invisible while not attacking.,,To be removed,\n\nReCloakingCooldown: 150\n\nCapacity: 3000#image{Shield}\n\nGeneration: 120#image{Shield}/sec\n\n,Small,5,Shield,2278,Yes,No,No,No,No,,,,,
Cloack6,Cloaking Shield,Renders the ship invisible while not attacking.,,To be removed,\n\nReCloakingCooldown: 120\n\nCapacity: 3600#image{Shield}\n\nGeneration: 140#image{Shield}/sec\n\n,Medium,6,Shield,3417,Yes,No,No,No,No,,,,,
Cloack7,Cloacking 7,,,To be removed,\n\nReCloakingCooldown: 120\n\nCapacity: 4200#image{Shield}\n\nGeneration: 160#image{Shield}/sec\n\n,Medium,7,Shield,5125,Yes,No,No,No,No,,,,,
Cloack8,Cloacking 8,,,To be removed,\n\nReCloakingCooldown: 120\n\nCapacity: 4800#image{Shield}\n\nGeneration: 180#image{Shield}/sec\n\n,Medium,8,Shield,7688,Yes,No,No,No,No,,,,,
Cloack9,Cloacking 9,,,To be removed,\n\nReCloakingCooldown: 120\n\nCapacity: 5400#image{Shield}\n\nGeneration: 200#image{Shield}/sec\n\n,Medium,9,Shield,11533,Yes,No,No,No,No,,,,,
SmallEngine0,Stock Engine,Basic propulsion system.,#hcolor{}Basic items can be crafted with no cost and will be removed from inventory on sorting#dcolor{}.,,"Max Speed: #ctext{255,255,0,20""}\nForce: #ctext{255",Small,0,Engine,0,No,No,No,No,Yes,,,,,0
SmallEngine1,Small Engine I,Propels the ship in space.,,,"Max Speed: #ctext{255,255,0,20""}\nForce: #ctext{255",Small,1,Engine,135,No,No,No,No,Yes,,,,,135
SmallEngine2,Small Engine II,Propels the ship in space.,,,"Max Speed: #ctext{255,255,0,26""}\nForce: #ctext{255",Small,2,Engine,203,No,No,No,No,Yes,,,,,203
SmallEngine3,Small Engine III,Propels the ship in space.,,,"Max Speed: #ctext{255,255,0,33""}\nForce: #ctext{255",Small,3,Engine,304,No,No,No,No,Yes,,,,,304
SmallEngine4,Small Engine IV,Propels the ship in space.,,,"Max Speed: #ctext{255,255,0,40""}\nForce: #ctext{255",Small,4,Engine,455,No,No,No,No,Yes,,,,,455
SmallEngine5,Small Engine V,Propels the ship in space.,,,"Max Speed: #ctext{255,255,0,47""}\nForce: #ctext{255",Small,5,Engine,683,No,No,No,No,Yes,,,,,683
MediumEngine6,Medium Engine I,A medium sized engine which propels the ship in space.,,,"Max Speed: #ctext{255,255,0,54""}\nForce: #ctext{255",Medium,6,Engine,1025,No,No,No,No,Yes,,,,,1025
MediumEngine7,Medium Engine II,A medium sized engine which propels the ship in space.,,,"Max Speed: #ctext{255,255,0,61""}\nForce: #ctext{255",Medium,7,Engine,1538,No,No,No,No,Yes,,,,,1538
MediumEngine8,Medium Engine III,A medium sized engine which propels the ship in space.,,,"Max Speed: #ctext{255,255,0,68""}\nForce: #ctext{255",Medium,8,Engine,2306,No,No,No,No,Yes,,,,,2306
MediumEngine9,Medium Engine IV,A medium sized engine which propels the ship in space.,,,"Max Speed: #ctext{255,255,0,75""}\nForce: #ctext{255",Medium,9,Engine,3460,No,No,No,No,Yes,,,,,3460
Generator0,Basic Reactor,Basic energy generation system.,#hcolor{}Basic items can be crafted with no cost and will be removed from inventory on sorting#dcolor{}.,,"Capacity: #color{0,0,255}1800#dcolor{}\n\nGeneration: #color{255,255,0}90#dcolor{} / s\n",Small,0,Generator,0,No,No,No,No,Yes,,,,,
Generator1,Generator I,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}3600#dcolor{}\n\nGeneration: #color{255,255,0}180#dcolor{} / s\n",Small,2,Generator,450,No,No,No,No,Yes,,,,,
Generator2,Generator II,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}5400#dcolor{}\n\nGeneration: #color{255,255,0}270#dcolor{} / s\n",Small,2,Generator,675,No,No,No,No,Yes,,,,,
Generator3,Generator III,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}7200#dcolor{}\n\nGeneration: #color{255,255,0}360#dcolor{} / s\n",Small,3,Generator,1012,No,No,No,No,Yes,,,,,
Generator4,Generator IV,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}9000#dcolor{}\n\nGeneration: #color{255,255,0}450#dcolor{} / s\n",Small,4,Generator,1518,No,No,No,No,Yes,,,,,
Generator5,Generator V,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}10800#dcolor{}\n\nGeneration: #color{255,255,0}540#dcolor{} / s\n",Small,5,Generator,2278,No,No,No,No,Yes,,,,,
Generator6,Generator VI,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}12600#dcolor{}\n\nGeneration: #color{255,255,0}630#dcolor{} / s\n",Small,6,Generator,3417,No,No,No,No,Yes,,,,,
Generator7,Generator VII,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}14400#dcolor{}\n\nGeneration: #color{255,255,0}720#dcolor{} / s\n",Small,7,Generator,5125,No,No,No,No,Yes,,,,,
Generator8,Generator VIII,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}16200#dcolor{}\n\nGeneration: #color{255,255,0}810#dcolor{} / s\n",Small,8,Generator,7688,No,No,No,No,Yes,,,,,
Generator9,Generator IX,Generates energy for the ship's systems.,,,"Capacity: #color{0,0,255}18000#dcolor{}\n\nGeneration: #color{255,255,0}900#dcolor{} / s\n",Small,9,Generator,11533,No,No,No,No,Yes,,,,,
MineAmmo1,AOE Mine,"Deploys a mine which explodes after a short duration, damaging ships in the area.",,Pending,,Small,1,"Ammo, Consumable",70,Yes,No,No,No,Yes,,,,,
MineAmmo2,Gravity Mine,"Deploys a mine which explodes after a short duration, generating a gravity well which pulls in everything to the center.",,,,Small,2,"Ammo, Consumable",140,No,No,Yes,No,No,,,,,
MineAmmo3,Goo Blast Mine,"Deploys a mine which explodes after a short duration, releasing goo creatues which are drawn to enemy ships, slowing them down.",,,,Small,3,"Ammo, Consumable",200,No,No,Yes,No,No,,,,,
MineAmmo4,Energy Drain Mine,"Deploys a mine which explodes after a short duration, draining energy from nearby ships.",,,,Small,4,"Ammo, Consumable",300,No,No,Yes,No,No,,,,,
MineAmmo5,EMP Mine,"Deploys a mine which explodes after a short duration, causing an EMP in a small area.",,,,Small,5,"Ammo, Consumable",2280,No,No,Yes,No,No,,,,,
MiningLaser1,Mining Laser I,A laser beam which extracts materials from resource mines. Able to harvest Ruby.,,,"Damage: #color{255,0,0}20#dcolor{}\nEnergy Consumption: #color{255,255,0}300#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nShots per burst: #color{255,0,0}60#dcolor{}\nDPS: #color{255,0,0}1200#dcolor{}\nRange:600",Small,1,"Weapon, Turret",1350,No,No,No,No,Yes,,,,,
MiningLaser2,Mining Laser II,A laser beam which extracts materials from resource mines. Able to harvest Ruby and Emerald.,,,"Damage: #color{255,0,0}20#dcolor{}\nEnergy Consumption: #color{255,255,0}450#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nShots per burst: #color{255,0,0}60#dcolor{}\nDPS: #color{255,0,0}1200#dcolor{}\nRange:600",Small,2,"Weapon, Turret",2020,No,No,No,No,Yes,,,,,
MiningLaser3,Mining Laser III,"A laser beam which extracts materials from resource mines. Able to harvest Ruby, Emerald, and Sapphire.",,,"Damage: #color{255,0,0}20#dcolor{}\nEnergy Consumption: #color{255,255,0}600#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nShots per burst: #color{255,0,0}60#dcolor{}\nDPS: #color{255,0,0}1200#dcolor{}\nRange:600",Small,3,"Weapon, Turret",3030,No,No,No,No,Yes,,,,,
MiningLaser4,Mining Laser IV,"A laser beam which extracts materials from resource mines. Able to harvest Ruby, Emerald, Sapphire, and Topaz.",,,"Damage: #color{255,0,0}20#dcolor{}\nEnergy Consumption: #color{255,255,0}750#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nShots per burst: #color{255,0,0}60#dcolor{}\nDPS: #color{255,0,0}1200#dcolor{}\nRange:600",Small,4,"Weapon, Turret",4550,No,No,No,No,Yes,,,,,
MiningLaser5,Mining Laser V,"A laser beam which extracts materials from resource mines. Able to harvest Ruby, Emerald, Sapphire, Topaz, and Amethyst.",,,"Damage: #color{255,0,0}20#dcolor{}\nEnergy Consumption: #color{255,255,0}900#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nShots per burst: #color{255,0,0}60#dcolor{}\nDPS: #color{255,0,0}1200#dcolor{}\nRange:600",Small,5,"Weapon, Turret",6830,No,No,No,No,Yes,,,,,
Rocket0,Mini Rocket,Ammo for the Missile Launcher. A small rocket which damages a target upon impact.,,,,Small,1,Ammo,110,No,No,No,No,No,,,,,
Missile0,Guided Mini Missile,Ammo for the Missile Launcher. A small guided rocket which damages a target upon impact.,,,,Small,1,Ammo,110,No,No,No,No,No,,,,,
Rocket1,AOE Rocket,"Ammo for the Missile Launcher. A small rocket that explodes, inflicting damage to the surrounding area.",,,,Small,2,Ammo,160,No,Yes,No,No,No,,,,,
Missile1,Guided AOE Missile,"Ammo for the Missile Launcher. A small guided rocket that explodes, inflicting damage to the surrounding area.",,,,Small,2,Ammo,180,No,Yes,No,No,No,,,,,
Rocket2,Gravity Rocket,Ammo for the Missile Launcher. A small rocket that generates a gravity well which pulls in everything to the center.,,Pending Name,,Small,3,Ammo,260,No,Yes,No,No,No,,,,,
Missile2,Guided Gravity Missile,Ammo for the Missile Launcher. A small guided rocket that generates a gravity well which pulls in everything to the center.,,Pending Name,,Small,3,Ammo,300,No,No,Yes,No,No,,,,,
