Id,Text,Image*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*,Sound*,Plot
smTutorialIntroEnd6,All previous equipment was destroyed. Backup engines have been installed.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
# Meet the mothership,Introduces mothership AI Director,,,,,,,,
smTutorialMeetMothershipActiveTitle,A New Friend,,,,,,,,
smTutorialMeetMothershipActiveInfo,"Follow the mission arrow #image{255,255,0,missionTarget}.",,,,,,,,
smTutorialMeetMothership,A New Friend,,,,,,,,
smTutorialMeetMothershipInfo,"Communications are back online, with basic propulsion systems. A nearby mothership AI damaged by your arrival has contacted you for assistance. While currently in no shape to assist, it has offered to repair your vessel and manufacturing missing components. Seeing as you have no other options, let alone knowing what those options are, you take up its offer.",,,,,,,,
smTutorialMeetMothershipStart1,Memory systems corrupted. Logs corrupted. At least I can turn on communications.,Player,smTutorialMeetMothershipStart2,TRUE,TRUE,,,,
smTutorialMeetMothershipStart2,"...-ond. I repeat, unidentified ship, please respond. Your ship's lights appear active, but that might be the fire.",AID,smTutorialMeetMothershipStart3,TRUE,TRUE,,,,
smTutorialMeetMothershipStart3,Confirming on both. Who is this?,Player,smTutorialMeetMothershipStart4,TRUE,TRUE,,,,
smTutorialMeetMothershipStart4,"This is the Artificial Intelligence Director, or A.I.D. onboard this mothership at Genesis system, near your location.",AID,smTutorialMeetMothershipStart5,TRUE,TRUE,,,,
smTutorialMeetMothershipStart5,"You, along with debris and solar energy suddenly warped in and inflicted considerable damage to the station.",AID,smTutorialMeetMothershipStart6,TRUE,TRUE,,,,
smTutorialMeetMothershipStart6,"The station's cloaking are inoperative, and standard defense systems are down. \nThis station requires your assistance to its security and safety.",AID,smTutorialMeetMothershipStart7,TRUE,TRUE,,,,
smTutorialMeetMothershipStart7,"AID, I can't help you. I can't even defend you from an asteroid. I'm the one that needs assistance.",Player,smTutorialMeetMothershipStart8,TRUE,TRUE,,,,
smTutorialMeetMothershipStart8,This mothership is equipped with repair and manufacturing facilities still functional. \nFly over and dock for an examination and repairs.,AID,smTutorialMeetMothershipStart9,TRUE,TRUE,,,,
smTutorialMeetMothershipStart9,"I can do that at least. I'll go to you then AID, for aid.",Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Activations,Introduce Repair Kit and Activations,,,,,,,,
smTutorialIntroduceActivationsActiveTitle,Repairing...,,,,,,,,
smTutorialIntroduceActivationsActiveInfo,Transfer the Repair Kit to your ship,,,,,,,,
smTutorialIntroduceActivations,Repairing...,,,,,,,,
smTutorialIntroduceActivationsInfo,"Some items are consumable which are usable anywhere in your travels. These can be used when pressing the corresponding activation button in your inventory. Place items that you will be using in those slots and have them ready when you need them. Each ship has 4 slot. \nThe AI will use these items as well, so make sure to assign them accordingly.",,,,,,,,
smTutorialIntroduceActivationsStart1,Scanning your ship...,AID,smTutorialIntroduceActivationsStart2,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart2,"First thing, I need your repair facility.",Player,smTutorialIntroduceActivationsStart3,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart3,I do not have any repair facilities on this mothership for objects that large.,AID,smTutorialIntroduceActivationsStart4,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart4,"Repairs, which include stopping this fire, is at the top of my priorities right now.",Player,smTutorialIntroduceActivationsStart5,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart5,... but I do have spare supplies to help repair your ship.,AID,smTutorialIntroduceActivationsStart6,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart6,"Transferring these over now, and I'll move a few small items damaged from your ship over.",AID,smTutorialIntroduceActivationsStart7,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart7,Press #action{Inventory} and transfer the #itemname{RepairKit1} from the mothership to your activation slot.,Player,,TRUE,FALSE,,,,
smTutorialIntroduceActivationsEnd1,The nearby Ruby mine will provide you with the uncommon resources for the kits.,AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Using Consumables,,,,,,,,,
smTutorialIntroduceUseConsumablesActiveTitle,Unit Repaired,,,,,,,,
smTutorialIntroduceUseConsumablesActiveInfo,Use the Repair Kit 1 from your activation slot,,,,,,,,
smTutorialIntroduceUseConsumables,Unit Repaired,,,,,,,,
smTutorialIntroduceUseConsumablesInfo,"Repair Kits are the standard way of repairing ships out in space. Repairs kits of a stronger model will repair more hull at once. After each usage, it takes time to ready the next repair kit for use. This includes for your ship or any other vessels, including your mothership. Don't let your mothership down.",,,,,,,,
smTutorialIntroduceUseConsumablesStart1,Use the repair kit now to fix your ship.,AID,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesStart2,Press #action{QuickUse1} to use the repair kit.,AID,,FALSE,FALSE,,,,
smTutorialIntroduceUseConsumablesEnd1,Repair kits when consumed will restore your hull but have a cooldown before the next one is available for use.,AID,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd2,"Good to have something to help me not die out there. I like my new, but vastly unsafe, existance.",Player,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd3,I have already taken your schematics of the ship in the event of your destruction.,AID,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd4,"We can produce a copy of your vessel here at this mothership, although it takes time. \nI will also try and recover your equipment as well when this occurs.",AID,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd5,"While you might be able to create a copy of the vessel, if this is destroyed I go with it.",Player,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd6,"Do not worry, I have taken measures to ensure your safety.",AID,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd7,"If that's okay to occur, then what happens if this mothership is destroyed? Will you be fine?",Player,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd8,Do not let that happen as you are here as well.,AID,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd9,I guess I live in those empty hanger bays now.,Player,,TRUE,TRUE,,,,
smTutorialIntroduceUseConsumablesEnd10,"You will be restored to your latest checkpoint if the mothership is destroyed. \nIf you're in a dangerous spot where the mothership is endangered, escaping is a good idea.",Help,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Blueprints,Introduces concept of blueprints,,,,,,"Time passes as you dock. Introduces blueprints, in this case the rest of the basic blueprints unlock. Also unlock any basic equipment for the player. Foce creation of items. Eventually in next quest, will craft something for Mothership, to introduce concept of swapping to mothership and building for others. Drifter will instead introduce fleet commands.",,
smTutorialIntroduceBlueprintsActiveTitle,Blueprints And Construction,,,,,,,,
smTutorialIntroduceBlueprintsActiveInfo,Use blueprints to create missing ship components,,,,,,,,
smTutorialIntroduceBlueprints,Blueprints And Construction,,,,,,,,
smTutorialIntroduceBlueprintsInfo,"The mothership has blueprints for the creation of basic ship components. These allow different components to be created for your ship, whether it be a new engine or a new weapon. While the most basic ones are available to your ship for now, the mothership may be able to manufacture more advanced parts provided the blueprint and materials are available. The Artificial Intelligence Director, or AID will be able to tell you of any other requirements in the future.",,,,,,,,
smTutorialIntroduceBlueprintsStart1,I have finished some additional scans and repairs on your internal systems.,AID,smTutorialIntroduceBlueprintsStart2,TRUE,TRUE,,Ship is healed automatically,,
smTutorialIntroduceBlueprintsStart2,"I could do little with restoring your memory and logs, which had extensive damage and corruption.",AID,smTutorialIntroduceBlueprintsStart3,TRUE,TRUE,,Edit,,
smTutorialIntroduceBlueprintsStart3,It was unexpected to discover your core systems are much more advanced than your vessel.,AID,smTutorialIntroduceBlueprintsStart4,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsStart4,"I'm advanced? I don't feel very advanced, and felt like a flaming wreck until recently.",Player,smTutorialIntroduceBlueprintsStart5,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsStart5,More advanced than any AI I have had interactions with.,AID,smTutorialIntroduceBlueprintsStart6,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsStart6,I'm not sure whether that's a good or bad thing. ,Player,smTutorialIntroduceBlueprintsStart7,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsStart7,"Advanced AIs are never wrong, and always do good.",AID,smTutorialIntroduceBlueprintsStart8,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsStart8,"Like me, providing you blueprints for the rest of the equipment your ship needs.",AID,smTutorialIntroduceBlueprintsStart9,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsStart9,You can utilize the mothership facilities to outfit the rest of your ship with essential equipment.,AID,smTutorialIntroduceBlueprintsStart10,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsStart10,Open the inventory #action{Inventory}.\nCraft a basic reactor and a blaster.,AID,,TRUE,FALSE,,ALT: Open the inventory with #action{Inventory}.\nCraft a basic reactor and a blaster.\nRight clicking will automatically equip it if possible.,,
smTutorialIntroduceBlueprintsEnd1,Never felt better. Considering my memory this is 100% fact.,Player,smTutorialIntroduceBlueprintsEnd2,TRUE,TRUE,,,,
smTutorialIntroduceBlueprintsEnd2,"These stock models are all we have with resources on hand. \nIf you acquire more resources, we should be able to construct more advanced items.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Equipment (Passive),Introduce passive equipment and different ship equipment,,,,,,,,
smTutorialIntroducePassiveEquipmentActiveTitle,Right Tools For The Job,,,,,,,,
smTutorialIntroducePassiveEquipmentActiveInfo,Transfer the vacuum modulator from the mothership to your ship,,,,,,,,
smTutorialIntroducePassiveEquipment,Right Tools For The Job,,,,,,,,
smTutorialIntroducePassiveEquipmentInfo,"Equipment functions slightly different than regular weapons. It can be attached on any equipment or weapon slot. Depending on the item, it may not need to be activated to be used. The vacuum modulator works constantly when items in space are near you.",,,,,,,,
smTutorialIntroducePassiveEquipmentStart1,Now we prioritize getting a protective shield as soon as possible.,AID,smTutorialIntroducePassiveEquipmentStart2,TRUE,TRUE,,,,
smTutorialIntroducePassiveEquipmentStart2,"This mothership has a Vacuum Modulator, AKA a Space Vac. \nTransfer this to your ship now.",AID,smTutorialIntroducePassiveEquipmentStart3,TRUE,TRUE,,"NAMING: Can we change Vacuum Modulator to SpaceVac, or Space Vac?",,
smTutorialIntroducePassiveEquipmentStart3,Press #action{Inventory} to open the Inventory and Crafting menu. \nClick and drag the #itemicon{VacuumModulator1} from the mothership and equip it on your ship.,AID,smTutorialIntroducePassiveEquipmentStart4,TRUE,FALSE,,,,
smTutorialIntroducePassiveEquipmentEnd1,"Any nearby items in space will be drawn to your vessel, making gathering much easier. \nIt doesn't require any energy and is always on. ",AID,smTutorialIntroducePassiveEquipmentEnd2,TRUE,TRUE,,,,
smTutorialIntroducePassiveEquipmentEnd2,"All equipment will take up one equipment slot, or one weapon slot. \nMake sure all vessels are well armed.",AID,smTutorialIntroducePassiveEquipmentEnd3,TRUE,TRUE,,,,
smTutorialIntroducePassiveEquipmentEnd3,I think this ship is set for weapons.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Asteroids,Introduces asteroids and getting materials,,,,,,,,
smTutorialIntroduceAsteroidsActiveTitle,Mining In Space,,,,,,,,
smTutorialIntroduceAsteroidsActiveInfo,"Fly to the #color{255,255,0}asteroids#dcolor{} and destroy for iron",,,,,,,,
smTutorialIntroduceAsteroids,Mining In Space,,,,,,,,
smTutorialIntroduceAsteroidsInfo,"Raw materials such as Iron or other standard metals are typically obtained from asteroids in various systems. More dangerous systems typically contain rarer asteroid types. These materials can also drop from other ships randomly. There are also special mineral mines that drop a dedicated resoure type, requiring a sufficiently powerful mining laser to extract.",,,,,,,,
smTutorialIntroduceAsteroidsStart1,It is equip enough to gather materials for a shield replacement.,AID,,TRUE,TRUE,,,,
smTutorialIntroduceAsteroidsStart2,"Unlike stock equipment, we require certain materials to construct these items.",AID,,TRUE,TRUE,,,,
smTutorialIntroduceAsteroidsStart3,"The nearby #color{255,255,0}asteroids#dcolor{} when destroyed will provide iron, a common component for shields and other equipment.",AID,,TRUE,TRUE,,,,
smTutorialIntroduceAsteroidsStart4,We will need enough iron to construct shields for both the mothership and your ship.,AID,,TRUE,TRUE,,,,
smTutorialIntroduceAsteroidsStart5,Time to put this space vac to work.,Player,,TRUE,TRUE,,,,
smTutorialIntroduceAsteroidsEnd1,"That's enough, head back to the mothership.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Delever materials to mothership,,,,,,,,,
smBackToMothershipActiveTitle,Special Delivery,,,,,,,,
smBackToMothershipActiveInfo,Deliver materials to the mothership,,,,,,,,
smBackToMothership,Back to the Mothership,,,,,,,,
smBackToMothershipInfo,Follow the mission arrow back to the mothership,,,,,,,,
smBackToMothershipStart1_REMOVED,,,,,,,,,
,,,,,,,,,
# Introduce Asteroids-Crafting-Equipment Size,Introduces equipping the Mothership-and introduces size for equipment,,,,,,,,
smTutorialIntroduceMothershipEquipmentActiveTitle,A Good Offense,,,,,,,,
smTutorialIntroduceMothershipEquipmentActiveInfo,Craft a shield for you and your Mothership,,,,,,,,
smTutorialIntroduceMothershipEquipment,A Good Offense,,,,,,,,
smTutorialIntroduceMothershipEquipmentInfo,"Crafting requires a blueprint, materials and sufficient facilities to produce the equipment. Each piece of equipment has a size, with vessels able to use their equipment size tier or smaller. The mothership is of the large size class, and should always be protected. \nWhen opening the inventory with F2, it will always open up the inventory of your currently controlled ship and the nearest friendly vessel.",,,,,,,,
smTutorialIntroduceMothershipEquipmentStart1,We can craft shields for both the mothership and your vessel with the materials on hand.,AID,smTutorialIntroduceMothershipEquipmentStart2,TRUE,TRUE,,,,
smTutorialIntroduceMothershipEquipmentStart2,"Craft a small shield for your ship and the mothership.\nPress #action{Inventory} to open inventory or #action{Use} with the cursor over a friendly vessel to #color{255,255,0}Interact#dcolor{} with it.\n#color{255,255,0}Right-click#dcolor{} on the crafting item to immediately equip it in a valid slot.",AID,,TRUE,FALSE,,"Craft a small shield for both ships.\nPress #action{Inventory} to open inventory.\nOr, hover the cursor over any friendly vessel and press #action{Use} to #color{255,255,0}Interact#dcolor{} with it.",,
smTutorialIntroduceMothershipEquipmentEnd1,Is this shield large enough for you?\nIt seems rather small compared to what you need.,Player,smTutorialIntroduceMothershipEquipmentEnd2,TRUE,TRUE,,,,
smTutorialIntroduceMothershipEquipmentEnd2,A small shield has a higher combat effectiveness than my previous non-existant shield.,AID,smTutorialIntroduceMothershipEquipmentEnd3,TRUE,TRUE,,,,
smTutorialIntroduceMothershipEquipmentEnd3,"If you acquire equipment of a larger size category, equip it to this mothership. \nYour vessel's size is unable to utilize anything except small equipment.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce Codex,"Introduce codex, plot elements",,,,,,,,
smTutorialIntroduceCodexActiveTitle,Memory Problems,,,,,,,,
smTutorialIntroduceCodexActiveInfo,View the codex,,,,,,,,
smTutorialIntroduceCodex,Memory Problems,,,,,,,,
smTutorialIntroduceCodexInfo,"The codex stores information you have learned in your journey. This ranges on information for people you know, what asteroids do, to what functions a space station is for. Check back if you need to know more on a new or previous topic.",,,,,,,,
smTutorialIntroduceCodexStart1,"After examining your systems, I cannot locate any designation that you have.",AID,smTutorialIntroduceCodexStart2,TRUE,TRUE,,,,
smTutorialIntroduceCodexStart2,My memories don't seem to bring up anything either. \nAlthough it's uneasy that you can access what I know before I recall it. \nI can't access your memories so that puts me in a bad spot.,Player,smTutorialIntroduceCodexStart3,TRUE,TRUE,,,,
smTutorialIntroduceCodexStart3,"Not entirely true. My systems were designed for many things, but for your systems only some of it I can access.\nYour systems are quite different from mine.",AID,smTutorialIntroduceCodexStart4,TRUE,TRUE,,,,
smTutorialIntroduceCodexStart4,"While you cannot read my processes, I can provide you with data on myself and send it to your systems. \nI'll send over a system to organize this data as well.",AID,smTutorialIntroduceCodexStart5,TRUE,TRUE,,,,
smTutorialIntroduceCodexStart5,Press #action{Codex} to access your codex and view records on things in the universe.\nThis will be implemented in a future release.,,,TRUE,FALSE,,Enable the AID Codex. Notification somewhere on screen with a text that says 'Codex entry added' or something. Codex Entry: AID,,
smTutorialIntroduceCodexEnd1,"This is one way of knowing someone without talking to them. \nGot anything else useful you can send over, as I'm lacking in knowledge in some areas completely?",Player,smTutorialIntroduceCodexEnd2,TRUE,TRUE,,,,
smTutorialIntroduceCodexEnd2,I will send you relevant entries as you need them. \nDetails will also be sent for what we covered if you wish to review it at anytime.,AID,,TRUE,TRUE,,"Codex Entry: Mothership, Equipment, Asteroids",,
,,,,,,,,,
# Introduce Activations,,,,,,,,,
smTutorialIntroduceActivationsActiveTitle_REMOVED,Utility Belt,,,,,,,,
smTutorialIntroduceActivationsActiveInfo_REMOVED,Craft an activation item,,,,,,,,
smTutorialIntroduceActivations_REMOVED,Utility Belt,,,,,,,,
smTutorialIntroduceActivationsInfo_REMOVED,"Some items are consumable which are usable anywhere in your travels. These can be used when pressing the corresponding activation button in your inventory. Place items that you will be using in those slots and have them ready when you need them. Each ship has 4 slot. \nThe AI will use these items as well, so make sure to assign them accordingly.",,,,,,,,
smTutorialIntroduceActivationsStart1_REMOVED,I located some spare resources which will help repair your ship in the future on your travels.,AID,smTutorialIntroduceActivationsStart2,TRUE,TRUE,,"Transfer resources of 5 ruby, some iron. Enough to make a few repair kits",,
smTutorialIntroduceActivationsStart2_REMOVED,"These are the same methods that repaired your ship previously, except you will be able to do this in your travels.",AID,smTutorialIntroduceActivationsStart3,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart3_REMOVED,I like the idea of having items to not blow up out there.,Player,smTutorialIntroduceActivationsStart4,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart4_REMOVED,I am moving the extra components to you now. Create the repair kit and add it to an activation slot.,AID,smTutorialIntroduceActivationsStart5,TRUE,TRUE,,,,
smTutorialIntroduceActivationsStart5_REMOVED,Craft a Repair Kit 1 and insert it into any activation slot.,,,TRUE,FALSE,,,,
smTutorialIntroduceActivationsEnd1_REMOVED,Repair kits when consumed will restore your hull but require time before the next kit is available for use.,AID,smTutorialIntroduceActivationsEnd2,TRUE,TRUE,,Make a note of AI using equipment? Consumables?,,
smTutorialIntroduceActivationsEnd2_REMOVED,"Another thing to help me not die out there, hopefully.",Player,smTutorialIntroduceActivationsEnd3,TRUE,TRUE,,,,
