Id,Text,Image*,Sound*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*
glOracleEnd6,"You must go to #color{255,255,0}Sol#dcolor{}.",Oracle,,,TRUE,TRUE,,
glOracleEnd7,"Go to #color{255,255,0}Sol#dcolor{}? Is that all? But that's easy... I can go right now!",Player,,,TRUE,TRUE,,
glOracleEnd8,You will face a great challenge there. It will not be easy.,Oracle,,,TRUE,TRUE,,
,,,,,,,,
glOraclePortal,Find the Southern Oracle,,,,,,,
glOraclePortalInfo,Find the portal that leads to the Southern Oracle,AID,,,TRUE,TRUE,,
glOraclePortalStart1,I have located the portal to the Southern Oracle.,AID,,,TRUE,TRUE,,
,,,,,,,,
glOracleHiddenEnd1,"We have found the portal!\nWhen you enter you'll be in a #color{255,255,0}simulation#dcolor{}.\nIn the unlikely case of your destruction, you'll be thrown out of it.",AID,,,TRUE,TRUE,,
glOracleHiddenEnd2,Go ahead and enter..,AID,,,TRUE,TRUE,,
,,,,,,,,
glOracleWonEnd1,I marked Sol on your galaxy map.,AID,,,TRUE,TRUE,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
glStarport,Go to the Starport,,,,,,,
glStarportStart1,I detected a Starport in this Sector. I suggest you go there.,AID,,,TRUE,TRUE,,
glStarportEnd1,Hello there.,Laura,,,TRUE,TRUE,,
glStarportEnd2,"Hey, you are here too!",Player,,,TRUE,TRUE,,
glStarportEnd3,"Yes, I remotely operate all the starports in the galaxy. It can get busy at times.",Laura,,,TRUE,TRUE,,
glStarportEnd4,There was another attack... something is destroying the galaxy.\nCan you help us? ,Laura,,,TRUE,TRUE,,
glStarportEnd3a,Sure!,,,,TRUE,TRUE,,
glStarportEnd3b,Why me!,,,,TRUE,TRUE,,
glStarportEnd5,"I can barely help myself, how can I help you?",Player,,,TRUE,TRUE,,
glStarportEnd6,"You can help, you bear the Mark of the Empress.",Laura,,,TRUE,TRUE,,
glStarportEnd7,The Mark of the Empress?,Player,,,TRUE,TRUE,,
glStarportEnd8,"Yes, the Empress was the person that united humanity under one banner after the great war.\nShe was the benevolent leader of humanity.\nUnder her rule, The Hope probe was sent, which had the Mark.",Laura,,,TRUE,TRUE,,
glStarportEnd9,"You must go meet the Oracle for they will know what to do.\nThey're located in the #color{255,255,0}#sector{164} sector.",Laura,,,TRUE,TRUE,,
glStarportEnd9a,Where can I find it?,,,,TRUE,TRUE,,
glStarportEnd10a,They are located in the Propous Binary system.,,,,TRUE,TRUE,,
,,,,,,,,
glToOracleSector,"Go to #color{255,255,0}#sector{164}#dcolor{}.",,,,,,,
glToOracleSectorInfo,"Go to #color{255,255,0}#sector{164}#dcolor{}, it is marked on the galaxy map(#action{GalaxyMap}) to find the Oracle",,,,,,,
glToOracleSectorStart1,"I have maked #color{255,255,0}#sector{164}#dcolor{} on the galaxy map#color{255,255,0} (#action{GalaxyMap})#dcolor{}",AID,,,TRUE,TRUE,,
,,,,,,,,
,,,,,,,,
glGoToVoid,Go to the Void,,,,,,,
glGoToVoidStart1,I am detecting the Void mothership nearby.,AID,,,TRUE,TRUE,,
glGoToVoidEnd1,We have been wating for you.,void,,,TRUE,TRUE,,
glGoToVoidEnd2,What are you?,Player,,,TRUE,TRUE,,
glGoToVoidEnd3,"We are the Void, sent from Earth many years ago.\nWe had a mission to unite humanity.\nTo find a solution to the human condition.\nTo end the suffering.",void,,,TRUE,TRUE,,
glGoToVoidEnd4,And what did you find?,Player,,,TRUE,TRUE,,
glGoToVoidEnd5,"Nothing, only the void.",void,,,TRUE,TRUE,,
glGoToVoidEnd6,The only solution we found is to destroy humanity.,void,,,TRUE,TRUE,,
,,,,,,,,
glDestroyVoid,Destroy The Void,,,,TRUE,TRUE,,
glDestroyVoidStart1,You must destroy the Void.,AID,,,TRUE,TRUE,,
glDestroyVoidEnd1,Is that the end? Did we do the right thing?,Player,,,TRUE,TRUE,,
glDestroyVoidEnd2,Only time will tell. The attack of the void united humanity.\nLet's see how long it will last.#write{endgame},AID,,,TRUE,TRUE,,
,,,,,,,,
glMeetTheCollector,Meet the Collector,,,,TRUE,TRUE,,
glMeetTheCollectorInfo,The Collector ,,,,,,,
,,,,,,,,
glGoToVoidSectorActive,Find The void,,,,TRUE,TRUE,,
glGoToVoidSectorActiveInfo,Go to #sector{2} and find the void,,,,TRUE,TRUE,,
glGoToVoidSector,Find The void,,,,TRUE,TRUE,,
glGoToVoidSectorInfo,Go to #sector{2} and find the void,,,,TRUE,TRUE,,
